,full_text
106, muncul iklan secara terus menerus pada akun gratis apa memang seperti ini jika akun gratis 
107, walah dalah kalo diamond
108, min kalo beli platinum apakah sudah termasuk dengan spotv terimakasih
109, play off nba ditayangin gk min kalo iya mau beli paket nih
110, sdh dm ya
111, yaudah dah makasih jawabannya mba
112, gamau nayangin lakers apa gimana dah
113, kok sekarang saya jadi tidak bisa nonton kontenkonten paket platinum di henpon saya tapi nonton di smart tv bisa padahal masa langganan masih aktif 
114, males gue dm udah dm yg bales yg cs yg lain  lagi liat aja yg bales ini juga beda lagi
115, udah langganan malah bayar  x tapi engga bisa bagaimana nihhh 
116, ok cek dm min
117, ini knp dhhhhhh kok loading  mulu streaming di aplikasi lain lancar pdhl
118, cek dm min
119, min baru langganan tapi gabisa nonton cdm ya
120, halo min aku udh beli paket langganan tapi kok ga bisa diakses
121, cek dm min
122, bls yah
123, tolong dong ini kenapa ya baru bgt login mau nntn gabisa udh coba uninstal dan clear chace ttp gabisaa 
124, sediihh
125, min ini udah ga ada ya di vidio
126, ini gmna 
127, okay aku dm yah min
128, bututtt ucl nya macetmacetan padahal jaringan stabil 
129, sudah saya dm
130, udah ya tinggal di respon makasih
131, error nih mau nonton ucl 
132, cek dm gan mau nnti ucl ini
133, saya nonton film heart michelle ziudith di  kenapa filmnya tersendatsendat ya jadi mengganggu keseruan
134, okeeeyyyy terima kasih 
135, yang paket platinum kan yaaa min apa masuknya ke diamond
136, tuh service paling sampah di dunia dah kayaknya
137, sebagai konsumen dibikin kerugian gini  sudah dituduh beli gak resmi pula 
138, udah gw post tuh biar puas
139, lu pikir gw beli paket sharing  tolol udah dijelasin diawal baru hari ini kejadian kemaren  normal udah fitur kurang mahal nuduh beli paket sharing 
140, cek dm
141, cek dm
142, sudah di email lagi di cek kendalanya dari kemarin 
143, hari ini aja kah
144, kenapa setelah diupdate ke version baru malah muncul masalah drm untuk tv android yg tidak support bagaimana ya kalo tidak sulosi yaa apa boleh buat berhenti berlangganan
145, ini kenapa ya min 
146, ada masalah apasi warriors ga ditayangin di game krusial
147, admin kenapa saya tidak bisa menonton premier league padahal saya sudah beli  
148, kenapa premier leaguenya muter terus woi yaoloh
149, knp gak bisa nonton lfc njir muter  doang
150,  ini kenapa ya min daritadiiii  
151, kak mo tanya di smart tv sy knp vidio g bs dibuka ya biasanya lancar jaya sdh sy uninstall dan reinstal ttp tdk bisa help please
152, woeeeeee lagi nonton angkat beban ngeblaaaank
153, min tolong cek dmnya
154, sudah bisa min makasih min
155,  min kok saya berlangganan di tv gabisa ya ada   paket yg aktif di akun yg sama mobile dan tv tp pas di tv kok gabisa yah
156, film atau series nih
157,  di video saya gak ada nih min
158, done cek dm min
159,  ini gmn ya drtd ntn premier league gangguan trus play sebntar gangguan teknis terus
160, min ini kualitas video nya kho ga bisa pilih resolusi ya cuma auto aja apa harus premium kah
161, responnya cepet banget makasih min 
162, drama    days udah ga ada lagi atau gimana nih
163, oh gitu oke deh min makasih jawabannya 
164, beberapa konten pilihan itu yg kae apa utk bisa langsung liat itu utk goldplatinum soalnya kudu pencet play dulu baru ketauan itu konten platinumnya
165, paket vidio gold itu bisa utk akses apa ya min soalnya konten drakormovie sejauh ini aku cek semua harus pake platinum ga ada yg bisa diakses pake gold kah
166, halo kak terkait kendala mu boleh infokan ke dm mimin ya mp
167, kenapa match lavani vs pbs ga bisa diputar mau nonton ulang aksi beik nih
168, ga mau ga ngasih solusi jg solusinya itu reupload match proliga nya  kemarin titik
169, hai kak mohon maaf atas ketidaknyamanannya mohon infokan kendala lebih detailnya melalui dm agar bisa mimin cek yaaaf
170,lavani vs pbs itu diupload ulang match nya bisa ga  ga bisa diputar gw mau healing nonton itu malah ga bisa 
171,langganan lewat  susah atau tidak bisa masuk   tolong bila kerja sama jangan pelanggan jadi susah akses ribet call center vision wa nya boot alias robot tolong ke depan dua pihak ini diperbaiki kerja sama nya dimudahkan kaya  akses nya
172,debate is over emtek group    dll gtgtgtgtgtgtgtgtgtgtgtgtgtgtgt mnc group    ampas
173,bayar mahal  rupanya live rekam orang nobar total hari ini habis almost     demi timnas please menang 
174,    anjing ya subscribe premium sports vision plus sampe skrg ga bisa liat indo vs uzbek boikot ini app lah jauh banget kualitas dibanding  yg beli lsg nyala tolol boikotmnc boikotvisionplus boikotrctiplus
175,tolong  perjuangin hak siar international sport championships kapok bgt  ga jelas udah purchase ngapain sih mesti nunggu proses aktivasi sekelas mnc padahal
176, ternyata udah banyak korbannya udah subscribe tapi gak bisa nonton siarannya ini udah termasuk scampenipuan bukan bapakbapak  mending  aja deh yang ambil hak siar timnas
177, ayo  ambil hak siarnya timnas disini  gak professional banget padahal berbayar
178, sudah subscribe tapi tetap ga bisa nonton haloooo  tolong beli hak siarnya aja dari mnc
179, hi kak mohon maaf namun di vidio statusnya cancel yaa untuk team tersebut dan pertandingan besok   fh
180, hai kak mohon maaf untuk afc u   tidak tayang di vidio ya kak hi
181,min  ada masalah apa sama  amp   yang bener aja dah match ke   ga ada yang disiarin   pun pertandingannya 
182, nyiarin indo vs usbek gk
183,klau gamampu nerima demand tinggi pindahin ke  aja lisensi broadcastnya sampah
184, dear  saya langganan diamond kalo mau ada spotv apa harus diunsubscribe paket diamondnya
185, hai kak mohon maaf untuk pertandingan thomas uber cup indonesia vs thailand tidak tayang di vidio mengikuti kebijakan dari pihak spotv mimin tunggu kehadiran kamu di pertandingan thomas uber cup lainnya ya hi
186,ini uber ga ditayangin kaahh  
