source,target,weight
just_anomTok,nengdarma,2
Dodyharryy,vidio,2
rizatomawa,vidio,2
dn_fadillah,vidio,2
vidio,fk_hap,1
Dianrahmad_MD,vidio,1
mishimakazuyaaa,vidio,1
ragilwew,vidio,1
ginanjartamtomo,vidio,1
vidio,adipabloch7,1
adipabloch7,vidio,1
vidio,RichartVolx,1
tattock,Erlz_,1
tattock,vidio,1
vidio,awanpamungkas,1
awanpamungkas,vidio,1
vidio,ilhaammsy,1
vidio,Ariandriano,1
guardiamoavant,ganecamuslim,1
guardiamoavant,vidio,1
ganecamuslim,guardiamoavant,1
ganecamuslim,vidio,1
vidio,Dodyharryy,1
biasce,vidio,1
FadliMuhRizky,vidio,1
thecalmboii,vidio,1
reyshptr,vidio,1
reyshptr,wahjoewebee,1
__Raihan,vidio,1
nnnairb,vidio,1
NoAbsen13,Adhy1209,1
aiuaaaeaiaeiiui,vidio,1
vidio,cahyo_tris,1
vidio,sseungbinie,1
vidio,opinipatrik,1
tommyalexander,vidio,1
weemte,vidio,1
sipow,vidio,1
sofaharistiawan,vidio,1
SegooVix,idextratime,1
SegooVix,vidio,1
jaemlenyangz,vidio,1
Wait_ASec,hemingcrynge,1
Wait_ASec,vidio,1
masbryy,realmadridindo1,1
masbryy,vidio,1
aiuaaaeaiaeiiui,realmadridindo1,1
smokeeybbq,vidio,1
NoAbsen13,SeputarMadrid,1
NoAbsen13,vidio,1
indrasuwendi,vidio,1
vidio,hnfianto,1
albasbrothers,realmadridindo1,1
albasbrothers,vidio,1
vidio,SegooVix,1
itskaaa24,vidio,1
billydolmen,vidio,1
dmzdms,juvefcdotcom,1
dmzdms,DiMarzio,1
dmzdms,SkySport,1
dmzdms,vidio,1
vidio,azwardiacla,1
budicahyadi168,BadmintonTalk,1
kekey60507506,BadmintonTalk,1
masyazalav,BadmintonTalk,1
masyazalav,vidio,1
vidio,rinibagyo,1
dckydar,Hilihisasi,1
dckydar,hasyimmah,1
dckydar,vidio,1
itskaaa24,BadmintonTalk,1
rinibagyo,ZonaBulutangkis,1
Papayy42033770,BadmintonTalk,1
Papayy42033770,vidio,1
thvblueskyy,BadmintonTalk,1
thvblueskyy,vidio,1
TimiMycat,BadmintonTalk,1
TimiMycat,vidio,1
lintanglangit15,BadmintonTalk,1
Jeeyroo,ElitVega20356,1
SamsungLipatDua,BadmintonTalk,1
SamsungLipatDua,vidio,1
renandasher,BadmintonTalk,1
renandasher,vidio,1
lintanglangit15,vidio,1
mblnk,kwintall,1
Jeeyroo,renandasher,1
Arisjo,firzieidris,1
Arisjo,RuudBukanGullit,1
Arisjo,vidio,1
kopralnyatenhag,firzieidris,1
kopralnyatenhag,vidio,1
vidio,Lisanlbp,1
khazardhy_,vidio,1
vidio,dangalfaruq,1
firmanfjahja,MafiaWasit,1
firmanfjahja,vidio,1
officialSurya58,Info_SerieA,1
officialSurya58,vidio,1
vavavaisVey,Septiaan_Re,1
vavavaisVey,BadmintonTalk,1
vavavaisVey,vidio,1
arfan1978,VidioSports,1
AndikaBagaska18,vidio,1
whyndinda,lianitsme,1
whyndinda,bhulukhuduktv,1
whyndinda,vidio,1
whyndinda,VidioSports,1
prasetyo4869,ElitVega20356,1
umeeenzzz,vidio,1
firmanfjahja,KelvinMP_WWE,1
budicahyadi168,vidio,1
Hilihisasi,dckydar,1
Hilihisasi,hasyimmah,1
Hilihisasi,vidio,1
vidio,satansooya,1
ElitVega20356,prasetyo4869,1
AndikaBagaska18,mblnk,1
AndikaBagaska18,BadmintonTalk,1
vidio,pirringg,1
lemonadepn2123,Gegiar5,1
lemonadepn2123,bhulukhuduktv,1
muh_irfani17,MafiaWasit,1
nanojr17,KelvinMP_WWE,1
nanojr17,MafiaWasit,1
nanojr17,vidio,1
wei_youno,BadmintonTalk,1
mail_co_id,bhulukhuduktv,1
mail_co_id,vidio,1
mail_co_id,VidioSports,1
madmoiselledrie,InisialFsaja,1
REALSJWOO,MafiaWasit,1
aldimsyarif27,REALSJWOO,1
aldimsyarif27,MafiaWasit,1
aldimsyarif27,vidio,1
vidio,onyourmarkllee,1
soursallyy12,sctv,1
vidio,YosichaR,1
YosichaR,vidio,1
lemonadepn2123,vidio,1
lemonadepn2123,VidioSports,1
pirringg,vidio,1
pirringg,Pododonggirls,1
